"","ID","Gene_Symbol","Gene_Title","Entrez_Gene_ID"
"HEEBO-002-CTRL2I1","HEEBO-002-CTRL2I1","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2I10","HEEBO-002-CTRL2I10","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2I11","HEEBO-002-CTRL2I11","VIM","vimentin",7431
"HEEBO-002-CTRL2I14","HEEBO-002-CTRL2I14","VIM","vimentin",7431
"HEEBO-002-CTRL2I15","HEEBO-002-CTRL2I15","GSN","gelsolin",2934
"HEEBO-002-CTRL2I16","HEEBO-002-CTRL2I16","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2I17","HEEBO-002-CTRL2I17","VIM","vimentin",7431
"HEEBO-002-CTRL2I18","HEEBO-002-CTRL2I18","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2I19","HEEBO-002-CTRL2I19","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2I2","HEEBO-002-CTRL2I2","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2I20","HEEBO-002-CTRL2I20","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2I21","HEEBO-002-CTRL2I21","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2I22","HEEBO-002-CTRL2I22","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2I23","HEEBO-002-CTRL2I23","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2I24","HEEBO-002-CTRL2I24","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2I3","HEEBO-002-CTRL2I3","TLN1","talin 1",7094
"HEEBO-002-CTRL2I4","HEEBO-002-CTRL2I4","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2I5","HEEBO-002-CTRL2I5","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2I6","HEEBO-002-CTRL2I6","TLN1","talin 1",7094
"HEEBO-002-CTRL2I7","HEEBO-002-CTRL2I7","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2I8","HEEBO-002-CTRL2I8","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2I9","HEEBO-002-CTRL2I9","GSN","gelsolin",2934
"HEEBO-002-CTRL2J1","HEEBO-002-CTRL2J1","ACTB","actin, beta",60
"HEEBO-002-CTRL2J10","HEEBO-002-CTRL2J10","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2J11","HEEBO-002-CTRL2J11","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2J13","HEEBO-002-CTRL2J13","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2J14","HEEBO-002-CTRL2J14","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2J15","HEEBO-002-CTRL2J15","TLN1","talin 1",7094
"HEEBO-002-CTRL2J16","HEEBO-002-CTRL2J16","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2J17","HEEBO-002-CTRL2J17","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2J18","HEEBO-002-CTRL2J18","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2J19","HEEBO-002-CTRL2J19","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2J2","HEEBO-002-CTRL2J2","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2J20","HEEBO-002-CTRL2J20","GSN","gelsolin",2934
"HEEBO-002-CTRL2J21","HEEBO-002-CTRL2J21","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2J23","HEEBO-002-CTRL2J23","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2J24","HEEBO-002-CTRL2J24","GSN","gelsolin",2934
"HEEBO-002-CTRL2J4","HEEBO-002-CTRL2J4","ACTB","actin, beta",60
"HEEBO-002-CTRL2J5","HEEBO-002-CTRL2J5","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2J7","HEEBO-002-CTRL2J7","ACTB","actin, beta",60
"HEEBO-002-CTRL2J8","HEEBO-002-CTRL2J8","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2J9","HEEBO-002-CTRL2J9","TLN1","talin 1",7094
"HEEBO-002-CTRL2K10","HEEBO-002-CTRL2K10","ACTB","actin, beta",60
"HEEBO-002-CTRL2K13","HEEBO-002-CTRL2K13","ACTB","actin, beta",60
"HEEBO-002-CTRL2K14","HEEBO-002-CTRL2K14","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2K17","HEEBO-002-CTRL2K17","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2K18","HEEBO-002-CTRL2K18","GSN","gelsolin",2934
"HEEBO-002-CTRL2K19","HEEBO-002-CTRL2K19","GAPDH","glyceraldehyde-3-phosphate dehydrogenase",2597
"HEEBO-002-CTRL2K2","HEEBO-002-CTRL2K2","GAPDH","glyceraldehyde-3-phosphate dehydrogenase",2597
